id,name,region,country,category,instagram_handle,instagram_followers_estimate,gender,eyewear_affinity,lenskart_relevance,notes
1,Shah Rukh Khan,India,India,Bollywood Actor,iamsrk,30000000,M,medium,collab_candidate,King of Bollywood
2,Salman Khan,India,India,Bollywood Actor,beingsalmankhan,60000000,M,medium,collab_candidate,Dabangg star
3,Aamir Khan,India,India,Bollywood Actor,,,M,medium,collab_candidate,Perfectionist of Bollywood
4,Ranbir Kapoor,India,India,Bollywood Actor,,,M,high,collab_candidate,"Frequently wears glasses, stylish"
5,Ranveer Singh,India,India,Bollywood Actor,ranveersingh,45000000,M,high,collab_candidate,"Signature large sunglasses, bold style"
6,Hrithik Roshan,India,India,Bollywood Actor,hrithikroshan,70000000,M,medium,collab_candidate,Krrish star
7,Akshay Kumar,India,India,Bollywood Actor,akshaykumar,70000000,M,low,collab_candidate,Khiladi
8,Varun Dhawan,India,India,Bollywood Actor,varundvn,30000000,M,medium,collab_candidate,
9,Sidharth Malhotra,India,India,Bollywood Actor,sidmalhotra,20000000,M,medium,watch_only,
10,Tiger Shroff,India,India,Bollywood Actor,tigerjackieshroff,35000000,M,low,watch_only,Action star
11,Kartik Aaryan,India,India,Bollywood Actor,kartikaaryan,40000000,M,medium,collab_candidate,Gen Z Bollywood lead
12,Aditya Roy Kapur,India,India,Bollywood Actor,adityaroykapur,10000000,M,medium,watch_only,
13,Shahid Kapoor,India,India,Bollywood Actor,shahidkapoor,35000000,M,medium,collab_candidate,
14,Farhan Akhtar,India,India,Bollywood Actor,faroutakhtar,10000000,M,high,collab_candidate,"Director-actor, wears stylish specs"
15,Abhishek Bachchan,India,India,Bollywood Actor,bachchan,16000000,M,medium,collab_candidate,
16,Amitabh Bachchan,India,India,Bollywood Actor,srbachchan,40000000,M,high,collab_candidate,"Icon, classic dark glasses"
17,Ajay Devgn,India,India,Bollywood Actor,ajaydevgn,15000000,M,low,watch_only,
18,Emraan Hashmi,India,India,Bollywood Actor,therealemraan,8000000,M,medium,watch_only,
19,John Abraham,India,India,Bollywood Actor,thejohnabraham,20000000,M,low,watch_only,
20,Saif Ali Khan,India,India,Bollywood Actor,,,M,medium,collab_candidate,
21,Nawazuddin Siddiqui,India,India,Bollywood Actor,,,M,low,watch_only,
22,Manoj Bajpayee,India,India,Bollywood Actor,,,M,low,watch_only,
23,Pankaj Tripathi,India,India,Bollywood Actor,,,M,low,watch_only,
24,Rajkummar Rao,India,India,Bollywood Actor,rajkummar_rao,7000000,M,medium,collab_candidate,
25,Ayushmann Khurrana,India,India,Bollywood Actor,ayushmannk,20000000,M,medium,collab_candidate,
26,Vicky Kaushal,India,India,Bollywood Actor,vickykaushal09,40000000,M,medium,collab_candidate,
27,Anil Kapoor,India,India,Bollywood Actor,anilskapoor,15000000,M,medium,collab_candidate,
28,Sunny Leone,India,India,Bollywood Actor,sunnyleone,50000000,F,medium,collab_candidate,
29,Kangana Ranaut,India,India,Bollywood Actor,,,F,high,collab_candidate,Bold fashion choices including oversized shades
30,Deepika Padukone,India,India,Bollywood Actor,deepikapadukone,80000000,F,high,collab_candidate,"Fashion icon, signature sunglasses"
31,Priyanka Chopra,India,India,Bollywood Actor,priyankachopra,90000000,F,medium,collab_candidate,Global star
32,Alia Bhatt,India,India,Bollywood Actor,aliaabhatt,80000000,F,medium,collab_candidate,
33,Kareena Kapoor,India,India,Bollywood Actor,kareenakapoorkhan,12000000,F,high,collab_candidate,"Bebo, iconic sunglasses looks"
34,Katrina Kaif,India,India,Bollywood Actor,katrinakaif,80000000,F,medium,collab_candidate,
35,Anushka Sharma,India,India,Bollywood Actor,anushkasharma,65000000,F,medium,collab_candidate,
36,Kiara Advani,India,India,Bollywood Actor,kiaraaliaadvani,50000000,F,medium,collab_candidate,
37,Janhvi Kapoor,India,India,Bollywood Actor,janhvikapoor,20000000,F,high,collab_candidate,"Fashion-forward, loves sunglasses"
38,Sara Ali Khan,India,India,Bollywood Actor,saraalikhan95,45000000,F,medium,collab_candidate,
