handle,name,country,iso_alpha2,iso_alpha3,region,hq_city,category,subcategory,business_type,business_model,price_tier,founded_year,ownership_type,is_public,stock_ticker,website,domain,instagram_url,linkedin_url,facebook_url,youtube_url,tiktok_handle,instagram_followers,employee_estimate,store_estimate,revenue_usd_estimate,naics_code,sic_code,is_d2c,is_manufacturer,is_retailer,is_luxury,is_smart_eyewear,has_manufacturing,sustainability_focus,description,tags,completeness_pct,confidence_pct,needs_reverification
ride100percent,100% Speedcraft,USA,US,USA,North America,San Diego,Sports Eyewear,Sunglasses,Brand,Brand,Mid-Premium,1982,Private,False,,https://ride100percent.com,ride100percent.com,https://instagram.com/ride100percent,https://www.linkedin.com/company/100percent-usa/,https://facebook.com/ride100percent,https://youtube.com/@ride100percent,ride100percent,350000,100,0,50000000,339920,3949,False,False,False,False,False,False,False,Performance sports eyewear and gear brand. Dominant in cycling and motocross.,Brand|Cycling|Motocross|Performance|Sports,96,65,True
1001optique,1001 Optique,France,FR,FRA,Europe,Paris,D2C Eyewear,Optical,Online Retailer,Online Retailer,Budget-Mid,2012,Private,False,,https://1001optique.com,1001optique.com,https://instagram.com/1001optique,https://www.linkedin.com/company/1001-optique/,,,,12000,,,,446130,5995,False,False,True,False,False,False,False,French online designer eyewear retailer.,B2C|Designer|French|Online-Only,79,65,True
2020mag,20/20 Magazine,USA,US,USA,North America,New York,Industry Media,Optical,Media,Media,,1976,Private,False,,https://2020mag.com,2020mag.com,https://instagram.com/2020mag,https://www.linkedin.com/company/2020-magazine/,,,,18000,,,,339115,3827,False,False,False,False,False,False,False,US optical industry publication.,American|Industry|Media,76,65,True
39dollarglasses,39DollarGlasses,USA,US,USA,North America,New York,D2C Eyewear,Optical,D2C Brand,D2C Online,Budget,2000,Private,False,,https://39dollarglasses.com,39dollarglasses.com,https://instagram.com/39dollarglasses,https://www.linkedin.com/company/39dollarglasses/,,,,280000,,,,454110,5961,False,False,False,False,False,False,False,Ultra-affordable online eyewear retailer.,Affordable|B2C|Budget|D2C|Online-Only,79,65,True
3m,3M Safety Eyewear,USA,US,USA,North America,"St. Paul, MN",Safety Eyewear,,Brand,Brand (3M),Budget-Mid,1902,Private,False,,https://3m.com,3m.com,https://instagram.com/3m,https://www.linkedin.com/company/3m/,,,,450000,,,,339113,3842,False,False,False,False,False,False,False,Industrial safety eyewear. Part of 3M conglomerate.,American|Brand|Industrial|Large|Safety,79,65,True
fournines_official,999.9 (Four Nines),Japan,JP,JPN,East Asia,Tokyo,Premium Eyewear,,Independent Brand,Brand,Premium,1995,Private,False,,https://fournines.co.jp,fournines.co.jp,https://instagram.com/fournines_official,https://www.linkedin.com/company/fournines/,,,,25000,100,20,30000000,339115,3827,False,False,False,False,False,False,False,Japanese precision eyewear. Known for reverse-R hinge and S-shaped nose pads.,Independent|Innovation|Japanese|Precision|Technology,90,65,True
9five,9Five Eyewear,USA,US,USA,North America,Los Angeles,D2C Eyewear,Sunglasses,D2C Brand,D2C / Wholesale,Mid-Range,2005,Private,False,,https://9fiveeyewear.com,9fiveeyewear.com,https://instagram.com/9five,https://www.linkedin.com/company/9five-eyewear/,https://facebook.com/9fiveeyewear,,9five,120000,30,,10000000,454110,5961,False,False,False,False,False,False,False,LA-based streetwear eyewear brand. Hip-hop and urban culture.,B2C|D2C|Hip-Hop|LA|Streetwear|Urban,90,65,True
a-m-y-opticals-llc,A.M.Y. Opticals LLC,,,,Global,,,Both,,,,2007,Private,False,,https://amyopticals.com,amyopticals.com,,https://www.linkedin.com/company/amy-opticals-llc/,,,,,,,,339115,3827,False,False,False,False,False,True,False,"- **A.M.Y. Opticals LLC** — Country: UAE; HQ: Dubai; Founded: 2007; Type: OEM eyewear manufacturer + wholesaler; Stores: n/a; Revenue: n/a; Employees: n/a; Website: [A.M.Y. Opticals](https://www.amyopticals.com); Products: frames, sunglasses, kids eyewear; Description: Manufacturer/wholesaler supporting OEM/private label. ([Eyewearglobo](https://www.eyewearglobo.com/top-20-eyewear-companies-in-the-uae-for-wholesale-retail/))",,34,50,True
armaniexchange,A/X Armani Exchange Eyewear,Italy,IT,ITA,Europe,Milan,Fashion Eyewear,Sunglasses,Fashion House,Licensed (EssilorLuxottica),Premium-Luxury,1975,Private,False,,https://armaniexchange.com,armaniexchange.com,https://instagram.com/armaniexchange,https://www.linkedin.com/company/armaniexchange/,https://facebook.com/Armani,https://youtube.com/@Armani,,2200000,,,,339115,3827,False,False,False,False,False,False,False,"Italian fashion empire. Giorgio Armani, Emporio Armani eyewear by EssilorLuxottica.",EssilorLuxottica|Fashion House|Italian|Licensed|Luxury,85,65,True
abboptical,ABB Optical Group,USA,US,USA,North America,"Coral Springs, FL",Distributor,Optical,Distributor,Distributor,,1989,Private,False,,https://abboptical.com,abboptical.com,https://instagram.com/abboptical,https://www.linkedin.com/company/abb-optical-group/,,,,15000,,,,423460,5048,False,False,False,False,False,False,False,US contact lens and optical product distributor.,American|B2B|Contact Lens|Distributor,76,65,True
abbe-glasses,Abbe Glasses,China,CN,CHN,East Asia,Danyang,D2C Eyewear,Optical,D2C Brand,D2C Online,Budget,2010,Private,False,,https://abbeglasses.com,abbeglasses.com,,https://www.linkedin.com/company/abbe-glasses,,,,,,,,454110,5961,False,False,False,False,False,False,False,Chinese D2C eyewear.,B2C|Budget|Chinese|D2C,72,50,True
aceandtate,Ace & Tate,Netherlands,NL,NLD,Europe,Amsterdam,D2C Eyewear,Sunglasses,D2C Brand,D2C / Omnichannel,Mid-Range,2013,VC-backed,False,,https://aceandtate.com,aceandtate.com,https://instagram.com/aceandtate,https://www.linkedin.com/company/ace-and-tate,https://facebook.com/AceAndTate,https://youtube.com/@AceAndTate,aceandtate,350000,500,70,100000000,454110,5961,False,False,False,False,False,True,True,Dutch D2C eyewear brand with strong design aesthetic. Expanding across Europe.,B2C|D2C|Design|Dutch|Funded|Omnichannel|Sustainable,99,75,True
adasat,Adasat,,,,Global,,,Both,,,,2018,Private,False,,https://adasat.com,adasat.com,,https://www.linkedin.com/company/adasat,,,,,,,,339115,3827,False,False,False,False,False,False,False,"- **Adasat** — Country: UAE; HQ: Dubai; Founded: 2018; Type: Online eyewear/contact lens retailer; Stores: n/a; Revenue: n/a; Employees: n/a; Website: [Adasat](https://www.adasat.com); Products: contact lenses, sunglasses, prescription glasses; Description: Digital eyewear platform with AR try-on and delivery. ([Eyewearglobo](https://www.eyewearglobo.com/top-20-eyewear-companies-in-the-uae-for-wholesale-retail/))",,34,50,True
adidas,Adidas Eyewear,Germany,DE,DEU,Europe,Herzogenaurach,Sports Eyewear,Sunglasses,Brand,Licensed (Marcolin),Mid-Range,1949,Private,False,,https://adidas.com,adidas.com,https://instagram.com/adidas,https://www.linkedin.com/company/adidas,,,,40000000,,,,339920,3949,False,False,False,False,False,False,False,Adidas sports eyewear. By Marcolin Group.,German|Licensed|Marcolin|Performance|Sports,79,65,True
afflelou_es,Afflelou Spain,Spain,ES,ESP,Europe,Madrid,Optical Retail,Optical,Retailer/Franchise,Franchise,Mid-Range,1972,Private,False,,https://afflelou.es,afflelou.es,https://instagram.com/afflelou_es,https://www.linkedin.com/company/afflelou,,,,25000,,,,446130,5995,False,False,False,False,False,False,False,Afflelou Spanish operations.,Afflelou|Franchise|Retailer|Spanish,79,65,True
